AGS;Gemeinde;Regierungsbezirk;Landkreis
09777155;Oberostendorf;Schwaben;Ostallgäu
09777157;Osterzell;Schwaben;Ostallgäu
09777159;Pfronten;Schwaben;Ostallgäu
09777163;Rieden am Forggensee;Schwaben;Ostallgäu
09777164;Rieden;Schwaben;Ostallgäu
09777165;Ronsberg;Schwaben;Ostallgäu
09777167;Ruderatshofen;Schwaben;Ostallgäu
09777172;Stöttwang;Schwaben;Ostallgäu
09777175;Unterthingau;Schwaben;Ostallgäu
09777176;Untrasried;Schwaben;Ostallgäu
09777177;Waal;Schwaben;Ostallgäu
09777179;Wald;Schwaben;Ostallgäu
09777182;Westendorf;Schwaben;Ostallgäu
09777183;Rettenbach a. Auerberg;Schwaben;Ostallgäu
09778111;Amberg;Schwaben;Unterallgäu
09778113;Apfeltrach;Schwaben;Unterallgäu
09778115;Babenhausen;Schwaben;Unterallgäu
09778116;Bad Wörishofen;Schwaben;Unterallgäu
09778118;Benningen;Schwaben;Unterallgäu
09778120;Boos;Schwaben;Unterallgäu
09778121;Breitenbrunn;Schwaben;Unterallgäu
09778123;Buxheim;Schwaben;Unterallgäu
09778127;Dirlewang;Schwaben;Unterallgäu
09778130;Egg a.d. Günz;Schwaben;Unterallgäu
09778134;Eppishausen;Schwaben;Unterallgäu
09778136;Erkheim;Schwaben;Unterallgäu
09778137;Ettringen;Schwaben;Unterallgäu
09778144;Bad Grönenbach;Schwaben;Unterallgäu
09778150;Heimertingen;Schwaben;Unterallgäu
09778157;Kirchhaslach;Schwaben;Unterallgäu
09778158;Kirchheim i. Schw.;Schwaben;Unterallgäu
09778161;Kronburg;Schwaben;Unterallgäu
09778162;Lachen;Schwaben;Unterallgäu
09778163;Lauben;Schwaben;Unterallgäu
09778168;Markt Rettenbach;Schwaben;Unterallgäu
09778177;Niederrieden;Schwaben;Unterallgäu
09778183;Oberrieden;Schwaben;Unterallgäu
09778184;Oberschönegg;Schwaben;Unterallgäu
09778186;Ottobeuren;Schwaben;Unterallgäu
09778187;Pfaffenhausen;Schwaben;Unterallgäu
09778188;Pleß;Schwaben;Unterallgäu
09778190;Salgen;Schwaben;Unterallgäu
09778196;Sontheim;Schwaben;Unterallgäu
09778199;Stetten;Schwaben;Unterallgäu
09778203;Türkheim;Schwaben;Unterallgäu
09778207;Unteregg;Schwaben;Unterallgäu
09778209;Rammingen;Schwaben;Unterallgäu
09778214;Westerheim;Schwaben;Unterallgäu
09778216;Wiedergeltingen;Schwaben;Unterallgäu
09778217;Winterrieden;Schwaben;Unterallgäu
09778218;Wolfertschwenden;Schwaben;Unterallgäu
09778221;Kettershausen;Schwaben;Unterallgäu
09779111;Alerheim;Schwaben;Donau-Ries
09779112;Amerdingen;Schwaben;Donau-Ries
09779115;Asbach-Bäumenheim;Schwaben;Donau-Ries
09779117;Auhausen;Schwaben;Donau-Ries
09779126;Buchdorf;Schwaben;Donau-Ries
09779129;Daiting;Schwaben;Donau-Ries
09779130;Deiningen;Schwaben;Donau-Ries
09779131;Donauwörth;Schwaben;Donau-Ries
09779136;Ederheim;Schwaben;Donau-Ries
09779138;Ehingen a. Ries;Schwaben;Donau-Ries
09779146;Forheim;Schwaben;Donau-Ries
09779147;Fremdingen;Schwaben;Donau-Ries
09779149;Genderkingen;Schwaben;Donau-Ries
09779154;Hainsfarth;Schwaben;Donau-Ries
09779155;Harburg (Schwaben);Schwaben;Donau-Ries
09779162;Hohenaltheim;Schwaben;Donau-Ries
09779163;Holzheim;Schwaben;Donau-Ries
09779167;Huisheim;Schwaben;Donau-Ries
09779169;Kaisheim;Schwaben;Donau-Ries
09779176;Maihingen;Schwaben;Donau-Ries
09779177;Marktoffingen;Schwaben;Donau-Ries
09779178;Marxheim;Schwaben;Donau-Ries
09779180;Megesheim;Schwaben;Donau-Ries
09779184;Mönchsdeggingen;Schwaben;Donau-Ries
09779185;Möttingen;Schwaben;Donau-Ries
09779186;Monheim;Schwaben;Donau-Ries
09779187;Münster;Schwaben;Donau-Ries
09779188;Munningen;Schwaben;Donau-Ries
09779192;Niederschönenfeld;Schwaben;Donau-Ries
09779194;Nördlingen;Schwaben;Donau-Ries
09779196;Oberndorf a. Lech;Schwaben;Donau-Ries
09779197;Oettingen i. Bay.;Schwaben;Donau-Ries
09779198;Otting;Schwaben;Donau-Ries
09779201;Rain;Schwaben;Donau-Ries
09779203;Reimlingen;Schwaben;Donau-Ries
09779206;Rögling;Schwaben;Donau-Ries
09779217;Tagmersheim;Schwaben;Donau-Ries
09779218;Tapfheim;Schwaben;Donau-Ries
09779224;Wallerstein;Schwaben;Donau-Ries
09779226;Wechingen;Schwaben;Donau-Ries
09779231;Wolferstadt;Schwaben;Donau-Ries
09780112;Altusried;Schwaben;Oberallgäu
09780114;Betzigau;Schwaben;Oberallgäu
09780115;Blaichach;Schwaben;Oberallgäu
09780116;Bolsterlang;Schwaben;Oberallgäu
09780118;Burgberg i. Allgäu;Schwaben;Oberallgäu
09780119;Dietmannsried;Schwaben;Oberallgäu
09780120;Durach;Schwaben;Oberallgäu
09780121;Fischen i. Allgäu;Schwaben;Oberallgäu
09780122;Haldenwang;Schwaben;Oberallgäu
09780123;Bad Hindelang;Schwaben;Oberallgäu
09780124;Immenstadt i. Allgäu;Schwaben;Oberallgäu
09780125;Lauben;Schwaben;Oberallgäu
09780128;Oy-Mittelberg;Schwaben;Oberallgäu
09780131;Obermaiselstein;Schwaben;Oberallgäu
09780133;Oberstdorf;Schwaben;Oberallgäu
09780134;Ofterschwang;Schwaben;Oberallgäu
09780139;Sonthofen;Schwaben;Oberallgäu
09780143;Waltenhofen;Schwaben;Oberallgäu
09780144;Weitnau;Schwaben;Oberallgäu
09780145;Wertach;Schwaben;Oberallgäu
09780146;Wiggensbach;Schwaben;Oberallgäu
