Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
;09574112;Mittelfranken;Nürnberger Land;Altdorf b.Nürnberg, St;2014-05-15;;2014-06-27;;2014-10-03;;2014-10-30;;2015-04-28;;2015-07-23;;2015-07-11;;2015-08-06;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10344/150805_Fördersteckbrief%20Altdorf%20b.Nürnberg.pdf;;;;
;09274113;Niederbayern;Landshut;Altdorf, M;2014-10-07;http://markt-altdorf.de/altdorf/buergerservice/Schnelles_Internet.php;2014-10-07;http://www.markt-altdorf.de/altdorf/buergerservice/Schnelles_Internet.php;2015-07-02;http://markt-altdorf.de/altdorf/buergerservice/Schnelles_Internet.php;2015-07-02;http://markt-altdorf.de/altdorf/buergerservice/Schnelles_Internet.php;;;;;;;;;;;;
;09375113;Oberpfalz;Regensburg;Alteglofsheim;2014-08-22;http://www.alteglofsheim.de/Aktuell/aktuell.html;2014-08-22;http://www.alteglofsheim.de/Aktuell/aktuell.html;2015-01-09;http://www.alteglofsheim.de/Aktuell/aktuell.html;2015-01-09;http://www.alteglofsheim.de/Aktuell/aktuell.html;2015-09-25;http://www.alteglofsheim.de/Aktuell/aktuell.html;;;2015-09-25;http://www.alteglofsheim.de/Aktuell/aktuell.html;;;;;;
;09676111;Unterfranken;Miltenberg;Altenbuch;2015-10-30;http://www.altenbuch.de;2015-10-30;http://breitband.regensburg-it.de/altenbuch2#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09471111;Oberfranken;Bamberg;Altendorf;2014-09-13;http://www.altendorf-gemeinde.de/Breitbandinitiative.59163.html;2014-09-13;http://www.altendorf-gemeinde.de/Breitbandinitiative.59163.html;;;;;;;;;;;;;;;;
;09376112;Oberpfalz;Schwandorf;Altendorf;2013-10-11;http://www.vg-nabburg.de/index.phtml?object=tx|1772.30.1&ModID=7&FID=1772.1881.1&sNavID=1772.15&La=1;2014-10-14;http://www.vg-nabburg.de/index.phtml?object=tx|1772.982.1&ModID=7&FID=1772.2143.1&sNavID=1772.15&NavID=1772.15&La=1;2015-03-17;http://www.vg-nabburg.de/index.phtml?object=tx|1772.982.1&ModID=7&FID=1772.2251.1&sNavID=1772.15&NavID=1772.15&La=1;2015-03-17;http://www.vg-nabburg.de/index.phtml?object=tx|1772.982.1&ModID=7&FID=1772.2252.1&sNavID=1772.15&NavID=1772.15&La=1;;;;;;;;;;;;
;09478111;Oberfranken;Lichtenfels;Altenkunstadt;<b>1: </b>  2013-05-14 ||<b>2: </b>2015-06-27;||http://www.altenkunstadt.de/altenkunstadt-buergerinfo/aktuelles/breitbandausbau/2-verfahren;<b>1: </b>  2013-08-23 ||<b>2: </b>2015-06-27;||http://www.altenkunstadt.de/altenkunstadt-buergerinfo/aktuelles/breitbandausbau/2-verfahren;<b>1: </b> 2014-03-07;;<b>1: </b> 2014-11-11;;<b>1: </b> 2015-03-03;;<b>1: </b> 2015-04-23;;<b>1: </b> 2015-05-06;;<b>1: </b> 2015-05-23;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10248/150522_Fördersteckbrief_Altenkundstadt.pdf;;;;
;09189111;Oberbayern;Traunstein;Altenmarkt a.d.Alz;2015-01-28;http://www.altenmarkt.de/index.php/pages/Breitbandausbau;2015-01-28;http://www.altenmarkt.de/index.php/pages/Breitbandausbau;2015-04-01;http://www.altenmarkt.de/index.php/pages/Breitbandausbau;2015-04-01;http://www.altenmarkt.de/index.php/pages/Breitbandausbau;2015-07-22;http://www.altenmarkt.de/page_assets/DSLAusbau/Auswahlentscheidung.pdf;;;;;;;;;;
;09772115;Schwaben;Augsburg;Altenmünster;2013-06-26;;2013-12-20;;2014-03-13;;2014-03-13;;2014-07-16;;2014-07-24;;2014-08-06;;2014-10-18;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10019/141016_Fördersteckbrief_Altenmünster_ohne_Unterschrift.pdf;;;;
29.05.2015_4;09190111;Oberbayern;Weilheim-Schongau;Altenstadt;2014-08-20;http://www.altenstadt-obb.de/14014.0.html;2014-08-20;http://www.altenstadt-obb.de/14014.0.html;2015-03-20;http://www.altenstadt-obb.de/14014.0.html;2015-03-20*;http://www.altenstadt-obb.de/14014.0.html;;;;;;;;;;;;
;09374111;Oberpfalz;Neustadt a.d. Waldnaab;Altenstadt a.d.Waldnaab;2013-08-23;http://www.altenstadt-waldnaab.de/;2013-12-06;http://www.altenstadt-waldnaab.de/default.asp?SID=XN27XX;2014-02-28;http://www.altenstadt-waldnaab.de/default.asp?SID=XN27XX;2014-09-06;http://www.altenstadt-waldnaab.de/default.asp?SID=XN27XX;2015-03-06;http://www.altenstadt-waldnaab.de/default.asp?SID=XN27XX;2015-10-13;http://www.altenstadt-waldnaab.de/default.asp?SID=XN27XX;;;;;;;;
07.08.2015_4;09775111;Schwaben;Neu-Ulm;Altenstadt, M;2014-09-12;http://www.altenstadt-iller.de/index.php?id=3892,174;2014-09-12;http://www.altenstadt-iller.de/index.php?id=3892,174;2015-06-03;http://www.altenstadt-vg.de/index.php?id=3892,174;2015-06-03*;http://www.altenstadt-vg.de/index.php?id=3892,174;;;;;;;;;;;;
19.01.2015_4;09375114;Oberpfalz;Regensburg;Altenthann;2014-08-13;http://www.altenthann.de/index.asp?NAVIID={B1C8AF7E-D5E4-4C8A-8489-602059C06FFD};2014-08-13;http://www.altenthann.de/index.asp?NAVIID={B1C8AF7E-D5E4-4C8A-8489-602059C06FFD};2014-11-13;http://www.altenthann.de/index.asp?NAVIID=%7BB1C8AF7E-D5E4-4C8A-8489-602059C06FFD%7D;2014-11-13*;http://www.altenthann.de/index.asp?NAVIID=%7BB1C8AF7E-D5E4-4C8A-8489-602059C06FFD%7D;2015-05-22;http://www.altenthann.de/index.asp?NAVIID={B1C8AF7E-D5E4-4C8A-8489-602059C06FFD};2015-10-13;http://www.altenthann.de/index.asp?NAVIID=%7BB1C8AF7E-D5E4-4C8A-8489-602059C06FFD%7D;2015-10-23;http://www.altenthann.de/index.asp?NAVIID={B1C8AF7E-D5E4-4C8A-8489-602059C06FFD};;;;;;
;09679165;Unterfranken;Würzburg;Altertheim;2015-03-21;http://www.altertheim.de/index.php?id=7&no_cache=1&publish[id]=350816&publish[start]=;2015-03-21;http://www.altertheim.de/index.php?id=7&no_cache=1&publish[id]=350816&publish[start]=;2015-10-20;http://www.altertheim.de/index.php?id=7&no_cache=1&publish%5bid%5d=350816&publish%5bstart;2015-10-20;http://www.altertheim.de/index.php?id=7&no_cache=1&publish%5bid%5d=350816&publish%5bstart;;;;;;;;;;;;
;09274114;Niederbayern;Landshut;Altfraunhofen;2015-01-14;http://vg-altfraunhofen.de/vg/de/gemeinde-altfraunhofen/breitbandausbau.php;2015-01-14;http://vg-altfraunhofen.de/vg/de/gemeinde-altfraunhofen/breitbandausbau.php;;;;;;;;;;;;;;;;
17.08.2015_4;09179114;Oberbayern;Fürstenfeldbruck;Althegnenberg;2015-04-14;http://www.vgmammendorf.de;2015-04-14;http://www.vgmammendorf.de;2015-06-27;http://www.vgmammendorf.de/index.php?id=0,1344;2015-06-27*;http://www.vgmammendorf.de/index.php?id=0,1344;;;;;;;;;;;;
13.05.2015_4;09176112;Oberbayern;Eichstätt;Altmannstein, M;2014-08-29;http://www.altmannstein.de;2014-08-29;http://www.altmannstein.de;2015-01-03;http://www.altmannstein.de;2015-02-06*;http://www.altmannstein.de;;;;;;;;;;;;
;09174111;Oberbayern;Dachau;Altomünster, M;<b>1: </b>  2013-07-17 ||<b>2: </b>2015-10-27;||http://www.altomuenster.de/Aktuelles/Verbraucher-Informationen/Breitbandversorgung.aspx;<b>1: </b>  2013-10-10 ||<b>2: </b>2015-10-27;||http://www.altomuenster.de/Aktuelles/Verbraucher-Informationen/Breitbandversorgung.aspx;<b>1: </b> 2013-11-23;;<b>1: </b> 2013-12-05;;<b>1: </b> 2014-03-29;;<b>1: </b> 2014-10-22;;<b>1: </b> 2014-05-13;;<b>1: </b> 2015-01-23;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10135/150408_Fördersteckbrief_Altomünster.pdf;;;;
;09780112;Schwaben;Oberallgäu;Altusried, M;2014-11-15;http://www.altusried.de/de/rathaus/breitbandausbau.html;2014-11-15;http://www.altusried.de/de/rathaus/breitbandausbau.html;;;;;;;;;;;;;;;;
23.06.2015_4;09171111;Oberbayern;Altötting;Altötting, St;2014-08-23;http://www.altoetting.de/cms/breitbanderschliessung.phtml;2014-08-23;http://www.altoetting.de/cms/breitbanderschliessung.phtml;2015-04-17;http://www.kommunen-breitbandberatung.de/altoetting;2015-04-17*;http://www.kommunen-breitbandberatung.de/altoetting;;;;;;;;;;;;
